cuda:0を使用
epoch: 1, loss_train: 0.8721, accuracy_train: 0.7642, loss_valid: 0.8669, accuracy_valid: 0.7691, 0.8085sec
epoch: 38, loss_train: 0.2509, accuracy_train: 0.9188, loss_valid: 0.2831, accuracy_valid: 0.9040, 0.6533sec
epoch: 39, loss_train: 0.2478, accuracy_train: 0.9194, loss_valid: 0.2818, accuracy_valid: 0.9025, 0.6004sec
epoch: 40, loss_train: 0.2456, accuracy_train: 0.9198, loss_valid: 0.2801, accuracy_valid: 0.9033, 0.5234sec
epoch: 41, loss_train: 0.2441, accuracy_train: 0.9208, loss_valid: 0.2808, accuracy_valid: 0.9078, 0.5417sec
epoch: 42, loss_train: 0.2420, accuracy_train: 0.9209, loss_valid: 0.2779, accuracy_valid: 0.9025, 0.5813sec
epoch: 43, loss_train: 0.2394, accuracy_train: 0.9216, loss_valid: 0.2764, accuracy_valid: 0.9033, 0.6018sec
epoch: 44, loss_train: 0.2385, accuracy_train: 0.9222, loss_valid: 0.2771, accuracy_valid: 0.9048, 0.5954sec
epoch: 45, loss_train: 0.2358, accuracy_train: 0.9225, loss_valid: 0.2756, accuracy_valid: 0.9033, 0.5205sec
epoch: 46, loss_train: 0.2355, accuracy_train: 0.9228, loss_valid: 0.2773, accuracy_valid: 0.9078, 0.5320sec
epoch: 47, loss_train: 0.2317, accuracy_train: 0.9246, loss_valid: 0.2742, accuracy_valid: 0.9063, 0.5464sec
epoch: 48, loss_train: 0.2302, accuracy_train: 0.9252, loss_valid: 0.2732, accuracy_valid: 0.9085, 0.6351sec
epoch: 49, loss_train: 0.2290, accuracy_train: 0.9263, loss_valid: 0.2740, accuracy_valid: 0.9063, 0.5442sec
epoch: 50, loss_train: 0.2263, accuracy_train: 0.9264, loss_valid: 0.2731, accuracy_valid: 0.9070, 0.5395sec
epoch: 51, loss_train: 0.2254, accuracy_train: 0.9266, loss_valid: 0.2722, accuracy_valid: 0.9085, 0.5212sec
epoch: 52, loss_train: 0.2237, accuracy_train: 0.9274, loss_valid: 0.2719, accuracy_valid: 0.9085, 0.5218sec
epoch: 53, loss_train: 0.2227, accuracy_train: 0.9279, loss_valid: 0.2719, accuracy_valid: 0.9078, 0.5203sec
epoch: 54, loss_train: 0.2202, accuracy_train: 0.9271, loss_valid: 0.2700, accuracy_valid: 0.9100, 0.5223sec
epoch: 55, loss_train: 0.2180, accuracy_train: 0.9283, loss_valid: 0.2693, accuracy_valid: 0.9093, 0.5232sec
epoch: 56, loss_train: 0.2170, accuracy_train: 0.9289, loss_valid: 0.2691, accuracy_valid: 0.9093, 0.6476sec
epoch: 57, loss_train: 0.2167, accuracy_train: 0.9281, loss_valid: 0.2707, accuracy_valid: 0.9078, 0.5695sec
epoch: 58, loss_train: 0.2143, accuracy_train: 0.9308, loss_valid: 0.2703, accuracy_valid: 0.9108, 0.5859sec
epoch: 59, loss_train: 0.2125, accuracy_train: 0.9293, loss_valid: 0.2680, accuracy_valid: 0.9100, 0.5408sec
epoch: 60, loss_train: 0.2118, accuracy_train: 0.9317, loss_valid: 0.2687, accuracy_valid: 0.9093, 0.5432sec
epoch: 61, loss_train: 0.2097, accuracy_train: 0.9303, loss_valid: 0.2672, accuracy_valid: 0.9123, 0.5181sec
epoch: 62, loss_train: 0.2078, accuracy_train: 0.9320, loss_valid: 0.2677, accuracy_valid: 0.9108, 0.6157sec
epoch: 63, loss_train: 0.2063, accuracy_train: 0.9318, loss_valid: 0.2671, accuracy_valid: 0.9115, 0.5409sec
epoch: 64, loss_train: 0.2057, accuracy_train: 0.9318, loss_valid: 0.2667, accuracy_valid: 0.9145, 0.5249sec
epoch: 65, loss_train: 0.2049, accuracy_train: 0.9344, loss_valid: 0.2683, accuracy_valid: 0.9078, 0.5261sec
epoch: 66, loss_train: 0.2028, accuracy_train: 0.9344, loss_valid: 0.2667, accuracy_valid: 0.9093, 0.5529sec
epoch: 67, loss_train: 0.2014, accuracy_train: 0.9338, loss_valid: 0.2664, accuracy_valid: 0.9123, 0.5196sec
epoch: 68, loss_train: 0.2019, accuracy_train: 0.9327, loss_valid: 0.2665, accuracy_valid: 0.9115, 0.5220sec
epoch: 69, loss_train: 0.1997, accuracy_train: 0.9354, loss_valid: 0.2680, accuracy_valid: 0.9108, 0.5225sec
epoch: 70, loss_train: 0.1984, accuracy_train: 0.9362, loss_valid: 0.2672, accuracy_valid: 0.9115, 0.5185sec
epoch: 71, loss_train: 0.1972, accuracy_train: 0.9351, loss_valid: 0.2663, accuracy_valid: 0.9123, 0.5371sec
epoch: 72, loss_train: 0.1940, accuracy_train: 0.9376, loss_valid: 0.2655, accuracy_valid: 0.9123, 0.5227sec
epoch: 73, loss_train: 0.1944, accuracy_train: 0.9363, loss_valid: 0.2649, accuracy_valid: 0.9138, 0.5986sec
epoch: 74, loss_train: 0.1918, accuracy_train: 0.9374, loss_valid: 0.2654, accuracy_valid: 0.9123, 0.6855sec
epoch: 75, loss_train: 0.1918, accuracy_train: 0.9380, loss_valid: 0.2649, accuracy_valid: 0.9108, 0.6081sec
epoch: 76, loss_train: 0.1900, accuracy_train: 0.9384, loss_valid: 0.2647, accuracy_valid: 0.9130, 0.5770sec
epoch: 77, loss_train: 0.1881, accuracy_train: 0.9394, loss_valid: 0.2649, accuracy_valid: 0.9115, 0.5973sec
epoch: 78, loss_train: 0.1883, accuracy_train: 0.9386, loss_valid: 0.2688, accuracy_valid: 0.9100, 0.5611sec
epoch: 79, loss_train: 0.1866, accuracy_train: 0.9394, loss_valid: 0.2645, accuracy_valid: 0.9123, 0.5324sec
epoch: 80, loss_train: 0.1857, accuracy_train: 0.9402, loss_valid: 0.2645, accuracy_valid: 0.9138, 0.5463sec
epoch: 81, loss_train: 0.1835, accuracy_train: 0.9416, loss_valid: 0.2647, accuracy_valid: 0.9093, 0.6075sec
epoch: 82, loss_train: 0.1828, accuracy_train: 0.9413, loss_valid: 0.2644, accuracy_valid: 0.9108, 0.6151sec
epoch: 83, loss_train: 0.1818, accuracy_train: 0.9415, loss_valid: 0.2655, accuracy_valid: 0.9100, 0.5197sec
epoch: 84, loss_train: 0.1807, accuracy_train: 0.9411, loss_valid: 0.2664, accuracy_valid: 0.9108, 0.5363sec
epoch: 85, loss_train: 0.1790, accuracy_train: 0.9416, loss_valid: 0.2645, accuracy_valid: 0.9130, 0.6066sec
epoch: 86, loss_train: 0.1781, accuracy_train: 0.9428, loss_valid: 0.2643, accuracy_valid: 0.9123, 0.5650sec
epoch: 87, loss_train: 0.1771, accuracy_train: 0.9429, loss_valid: 0.2634, accuracy_valid: 0.9145, 0.5720sec
epoch: 88, loss_train: 0.1761, accuracy_train: 0.9445, loss_valid: 0.2639, accuracy_valid: 0.9153, 0.6022sec
epoch: 89, loss_train: 0.1755, accuracy_train: 0.9430, loss_valid: 0.2636, accuracy_valid: 0.9153, 0.5420sec
epoch: 90, loss_train: 0.1737, accuracy_train: 0.9457, loss_valid: 0.2639, accuracy_valid: 0.9123, 0.5295sec
epoch: 91, loss_train: 0.1732, accuracy_train: 0.9462, loss_valid: 0.2644, accuracy_valid: 0.9085, 0.5593sec
epoch: 92, loss_train: 0.1711, accuracy_train: 0.9472, loss_valid: 0.2655, accuracy_valid: 0.9078, 0.5428sec
